Curve,Heegner index
11a1,1.00000?
11a2,1.00000?
11a3,0.20000?
32a1,1.00000?
32a2,1
32a3,0.50000?
32a4,1
37a1,1.00000?
37b1,1.00000?
37b2,1.00000?
37b3,1
43a1,1.00000?
44a1,1.00000?
44a2,1.00000?
46a1,1.00000?
46a2,1.00000?
53a1,1.00000?
58a1,2.0000?
58b1,2.0000?
58b2,2.00000?
64a1,1.00000?
64a2,1.00000?
64a3,1.00000?
64a4,1
67a1,1.00000?
79a1,1.00000?
88a1,4.0000?
92a1,1.00000?
92a2,1.00000?
92b1,3.0000?
106a1,1
106a2,1
106b1,2.0000?
106c1,8.0000?
106c2,8.0000?
106d1,1.00000?
109a1,1.00000?
113a1,1.00000?
113a2,0.50000?
116a1,3.0000?
116b1,1
116b2,1.00000?
116c1,1
116c2,1
121a1,1.00000?
121a2,1
121b1,2.00000?
121b2,2.00000?
121c1,1.00000?
121c2,1
121d1,2.00000?
121d2,2.00000?
128a1,1.00000?
128a2,2.0000?
128b1,1
128b2,1
128c1,1.00000?
128c2,1.00000?
128d1,1
128d2,1
142a1,3.0000?
142b1,1.00000?
142c1,1.00000?
142c2,1.00000?
142d1,1
142d2,1
1.42E+03,1
148a1,3.0000?
158a1,8.0000?
158b1,2.0000?
158c1,4.0000?
158c2,4.0000?
158d1,2.00000?
158d2,2.00000?
158d3,1
1.58E+03,1
1.58E+04,1.00000?
163a1,1.00000?
172a1,1.00000?
172a2,3.0000?
176a1,1.00000?
176b1,1.00000?
176b2,1
176b3,1
176c1,2.0000?
176c2,6.0000?
179a1,1.00000?
184a1,2.0000?
184b1,2.0000?
184c1,1
184c2,1.00000?
184d1,2.00000?
142e1,1
158e1,1
158e2,1.00000?
197a1,1.00000?
212a1,3.0000?
212b1,3.0000?
212b2,1.50000?
214a1,7.0000?
214b1,1.00000?
214c1,2.00000?
214d1,2.00000?
214d2,2.00000?
218a1,2.0000?
218a2,6.0000?
226a1,3.0000?
226a2,3.0000?
232a1,2.0000?
232b1,2.0000?
233a1,1
233a2,1
242a1,4.0000?
242a2,12.0000?
242b1,2.00000?
242b2,2.00000?
254a1,3.0000?
254a2,3.0000?
254a3,3.0000?
254b1,1
254b2,1.00000?
254c1,1.00000?
254d1,3.0000?
254d2,3.0000?
254d3,3.0000?
254d4,3.0000?
256a1,1.00000?
256a2,1.00000?
256b1,1.00000?
256b2,1.00000?
256c1,1.00000?
256c2,1.00000?
256d1,1
256d2,1.00000?
268a1,1.00000?
274a1,1.00000?
274b1,3.0000?
274c1,0.001?
274c2,0.001?
277a1,1.00000?
296a1,4.0000?
296b1,2.00000?
298a1,9.0000?
298b1,1.00000?
302a1,3.0000?
302a2,15.0000?
302b1,1.00000?
302b2,1.00000?
302c1,5.0000?
316a1,1.00000?
316b1,1.00000?
319a1,2.00000?
326a1,1.00000?
326b1,5.0000?
326c1,1
326c2,1
326c3,1
331a1,1.00000?
344a1,2.00000?
347a1,0.001?
352a1,2.00000?
352b1,2.00000?
352c1,2.00000?
352d1,2.00000?
352e1,2.00000?
352f1,6.0000?
358a1,1
358b1,1
358b2,1
359a1,2.00000?
359b1,0.001?
368a1,0.001?
368a2,0.001?
368b1,1
368b2,2.00000?
368c1,1.00000?
368d1,1.00000?
368e1,1.00000?
368e2,3.0000?
368f1,1.00000?
368g1,3.0000?
373a1,0.001?
389a1,+Infinity
422a1,0.001?
428a1,3.0000?
428b1,0.001?
431a1,0.001?
431b1,1.00000?
443a1,1.00000?
443b1,1.00000?
443c1,1
464a1,2.00000?
464b1,2.00000?
464c1,2.00000?
464c2,2.00000?
464d1,1
464d2,1
464e1,1
464e2,1
464f1,1
464g1,2.00000?
466a1,1.00000?
466a2,2.00000?
466b1,2.00000?
466b2,2.00000?
473a1,2.0000?
484a1,4.0000?
484a2,12.0000?
506a1,1.00000?
506b1,1
506c1,1.00000?
506c2,1
506d1,5.0000?
506e1,3.0000?
506f1,13.0000?
557a1,1.00000?
557b1,1
562a1,1.00000?
562a2,2.00000?
568a1,1
571a1,2.00000?
571b1,+Infinity
583a1,2.00000?
583b1,4.0000?
583c1,6.0000?
592a1,1.00000?
592b1,1
592c1,1
592d1,2.0000?
592e1,1.00000?
592e2,3.0000?
592e3,3.0000?
632a1,2.00000?
659a1,1.00000?
659b1,1
662a1,2.0000?
674a1,1.00000?
674b1,2.0000?
674b2,2.00000?
674c1,31.000?
688a1,1.00000?
688b1,2.00000?
688b2,2.00000?
688c1,1.00000?
701a1,1
704a1,1.00000?
704a2,1.00000?
704a3,1.00000?
704b1,1.00000?
704c1,1.00000?
704d1,1
704d2,3.0000?
704e1,1
704f1,1
704f2,1
704g1,1.00000?
704h1,1
704i1,1
704j1,1.00000?
704k1,1.00000?
704k2,5.0000?
704k3,5.0000?
704l1,3.0000?
709a1,+Infinity
718a1,1
718b1,+Infinity
718c1,12.0000?
737a1,0.01?
739a1,1
758a1,2.0000?
758b1,4.0000?
781a1,1
781b1,3.0000?
802a1,1
802b1,1
802b2,1
814a1,1.00000?
814a2,3.0000?
814b1,5.0000?
827a1,2.0000?
842a1,1.00000?
842b1,13.0000?
848a1,2.00000?
848b1,2.00000?
848c1,2.00000?
848c2,2.00000?
848d1,1
848d2,1
848e1,2.00000?
848f1,1.00000?
848g1,4.0000?
851a1,0.001?
856a1,0.001?
856b1,2.00000?
856c1,4.0000?
856d1,1.00000?
862a1,0.001?
862b1,4.0000?
862c1,3.0000?
862c2,3.0000?
862d1,4.0000?
862d2,4.0000?
862e1,4.0000?
862e2,20.0000?
862f1,8.0000?
869a1,0.001?
869b1,0.001?
869c1,1.00000?
869c2,1.00000?
869d1,6.0000?
872a1,2.00000?
886a1,2.00000?
886b1,1.00000?
886c1,2.00000?
886d1,38.000?
886e1,5.0000?
898a1,1.00000?
898b1,1
898c1,3.0000?
898c2,6.0000?
898d1,1.00000?
904a1,1.00000?
904a2,1.00000?
914a1,1.00000?
914a2,1.00000?
914b1,1.00000?
926a1,3.0000?
926a2,3.0000?
928a1,0.001?
928b1,4.0000?
946a1,1.00000?
946a2,2.00000?
946a3,2.00000?
946a4,2.00000?
946b1,0.001?
946b2,0.01?
946c1,10.0000?
956a1,1
968a1,0.01?
968b1,6.0000?
968c1,4.0000?
968d1,2.00000?
968e1,8.0000?
974a1,1.00000?
974b1,1.00000?
974c1,1.00000?
974c2,1.00000?
974d1,1
974e1,3.0000?
974f1,9.0000?
974g1,3.0000?
974h1,15.0000?
982a1,2.0000?
989a1,1
1012a1,6.0000?
1012b1,0.001?
1012b2,0.001?
1012c1,4.0000?
1012d1,3.0000?
1012d2,3.0000?
1016a1,1
1019a1,1.00000?
1019b1,1.00000?
1051a1,1.00000?
1058a1,1
1058a2,2.00000?
1058b1,4.0000?
1058b2,4.0000?
1058c1,+Infinity
1058c2,+Infinity
1058d1,5.0000?
1058e1,1
1072a1,1
1072b1,2.0000?
1073a1,+Infinity
1073b1,3.0000?
1094a1,+Infinity
1094b1,0.01?
1096a1,1.00000?
1096b1,2.00000?
1096b2,2.00000?
1096c1,1
1096c2,2.00000?
1108a1,1.00000?
1108a2,3.0000?
1114a1,4.0000?
1114a2,4.0000?
1136a1,2.00000?
1136b1,2.00000?
1136b2,2.00000?
1136c1,2.00000?
1136d1,4.0000?
1136e1,4.0000?
1136f1,2.00000?
1136f2,6.0000?
1138a1,1.00000?
1138a2,1.00000?
1142a1,3.0000?
1142b1,13.0000?
1166a1,0.001?
1166b1,1
1166b2,2.00000?
1166b3,2.00000?
1166b4,2.00000?
1166c1,4.0000?
1166c2,4.0000?
1166d1,1
1171a1,+Infinity
1171b1,1
1184a1,0.001?
1184a2,0.001?
1184b1,2.00000?
1184c1,2.00000?
1184d1,6.0000?
1184e1,1.00000?
1184e2,1
1184f1,2.00000?
1184g1,2.00000?
1184h1,2.00000?
1187a1,1.00000?
1187b1,1.00000?
1187c1,1
1198a1,3.0000?
1208a1,1.00000?
1234a1,2.00000?
1234b1,1.00000?
1234b2,2.00000?
1234c1,29.0000?
1234d1,1
1243a1,1
1264a1,2.00000?
1264b1,2.00000?
1264b2,2.00000?
1264b3,2.00000?
1264c1,1
1264d1,2.00000?
1264e1,2.00000?
1264e2,10.0000?
1264f1,1.00000?
1264g1,2.0000?
1264h1,2.00000?
1264i1,2.00000?
1264i2,4.0000?
1282a1,0.01?
1289a1,1
1289a2,1
1297a1,1
1304a1,1
1304b1,2.00000?
1306a1,0.01?
1318a1,2.00000?
1318b1,4.0000?
1324a1,+Infinity
1324b1,3.0000?
1334a1,0.001?
1334b1,6.0000?
1334b2,6.0000?
1334c1,4.0000?
1334c2,4.0000?
1346a1,0.01?
1369a1,4.0000?
1369a2,4.0000?
1369a3,4.0000?
1369b1,2.00000?
1369c1,0.001?
1369c2,0.001?
1369d1,6.0000?
1369e1,2.00000?
1369e2,2.00000?
1369f1,2.00000?
1369f2,2.00000?
1373a1,1.00000?
1408a1,1
1408a2,1
1408b1,1
1408b2,1
1408c1,1
1408c2,1
1408d1,0.001?
1408d2,0.001?
1436a1,+Infinity
1439a1,1.00000?
1472a1,1.00000?
1472b1,1.00000?
1472b2,1.00000?
1472c1,1
1472c2,2.00000?
1472d1,2.00000?
1472d2,2.00000?
1472e1,1
1472f1,1
1472g1,1
1472h1,2.00000?
1472h2,2.00000?
1472i1,1
1472i2,2.00000?
1472j1,1.00000?
1472k1,1
1472l1,1
1472m1,1.00000?
1472m2,3.0000?
1472n1,1.00000?
1474a1,3.0000?
1474a2,6.0000?
1478a1,0.001?
1478b1,1.00000?
1478c1,1.00000?
1478d1,0.001?
1478d2,0.01?
1492a1,0.001?
1502a1,1
1502b1,11.0000?
1502b2,11.0000?
1507a1,1.00000?
1507a2,1.00000?
1507b1,1
1507b2,1.00000?
1507b3,1
1507b4,2.00000?
1507c1,1.00000?
1507a1,1.00000?
1507a2,1.00000?
1507b1,1
1507b2,1.00000?
1507b3,1
1507b4,2.00000?
1507c1,1.00000?
1541a1,1.00000?
1544a1,1
1544a2,1
1549a1,0.001?
1556a1,0.001?
1562a1,2.00000?
1562b1,6.0000?
1562c1,44.000?
1576a1,+Infinity
